,,,,,,
Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 08, 2019",99.11,99.45,98.19,98.95,98.95,1306000
"Mar 07, 2019",99.27,99.83,98.9,99.7,99.7,1946800
"Mar 07, 2019",0.513 Dividend,,,,,
"Mar 06, 2019",99.8,100.4,99.7,99.81,99.3,1539800
"Mar 05, 2019",100.2,100.62,99.71,99.71,99.2,1561700
"Mar 04, 2019",101.51,101.65,99.69,100.24,99.72,1641600
"Mar 01, 2019",101.52,101.78,100.55,101,100.48,1610300
"Feb 28, 2019",100.29,101.35,100.21,101.25,100.73,2129800
"Feb 27, 2019",99.21,100.35,99.21,100.24,99.72,1284400
"Feb 26, 2019",99.52,99.94,99.24,99.43,98.92,1316900
"Feb 25, 2019",100,100.14,99.24,99.3,98.79,1295300
"Feb 22, 2019",99.32,99.82,99.03,99.73,99.22,1212100
"Feb 21, 2019",99.24,99.5,98.77,99.32,98.81,1635000
"Feb 20, 2019",99.23,99.25,98.73,99.18,98.67,1793800
"Feb 19, 2019",99,99.22,98.58,99.08,98.57,2185100
"Feb 15, 2019",99.9,100.16,98.62,99.06,98.55,2412100
"Feb 14, 2019",97.5,100,97.22,98.84,98.33,2285000
"Feb 13, 2019",98.64,98.99,97.98,98.56,98.05,1968000
"Feb 12, 2019",97.68,98.69,97.48,98.65,98.14,1515400
"Feb 11, 2019",97.67,98.54,97.08,97.37,96.87,1722200
"Feb 08, 2019",96.49,97.42,95.93,97.42,96.92,1862600
"Feb 07, 2019",96.02,96.92,95.99,96.89,96.39,1433600
"Feb 06, 2019",97.04,97.04,96.23,96.66,96.16,1624700
"Feb 05, 2019",96.27,97.22,96.22,97.21,96.71,2099400
"Feb 04, 2019",95.35,96,94.88,96,95.51,1508500
"Feb 01, 2019",96,96.25,95.09,95.47,94.98,1937300
"Jan 31, 2019",95.1,96.15,94.48,95.67,95.18,3409700
"Jan 30, 2019",95.08,95.23,93.98,94.94,94.45,2596600
"Jan 29, 2019",94.56,95.65,94.34,94.76,94.27,1527300
"Jan 28, 2019",94.43,94.89,93.85,94.5,94.01,1332300
"Jan 25, 2019",94.87,95.5,94.54,94.9,94.41,1878900
"Jan 24, 2019",94.9,95.08,94.21,94.41,93.92,1649200
"Jan 23, 2019",94.97,95.15,94.47,94.91,94.42,1297500
"Jan 22, 2019",94.32,95.2,93.84,94.88,94.39,2202500
"Jan 18, 2019",93.57,94.78,93.08,94.47,93.98,2284200
"Jan 17, 2019",92.5,93.33,92.49,93.32,92.84,1741400
"Jan 16, 2019",93.83,93.85,92.48,92.7,92.22,1950600
"Jan 15, 2019",93.23,93.88,93.18,93.78,93.3,1087400
"Jan 14, 2019",93.08,93.71,92.57,93.11,92.63,1771200
"Jan 11, 2019",93.26,93.66,92.88,93.65,93.17,1785100
"Jan 10, 2019",92.55,93.25,91.7,93.19,92.71,1771500
"Jan 09, 2019",92.16,92.46,91.19,91.87,91.4,1938900
"Jan 08, 2019",91.44,92.47,90.98,92.34,91.87,2164000
"Jan 07, 2019",90.61,91.76,90.45,91.05,90.58,2859400
"Jan 04, 2019",89,90.86,89,90.83,90.36,2433700
"Jan 03, 2019",88.24,88.84,87.32,88.48,88.03,3343700
"Jan 02, 2019",88.1,88.76,87.43,88.72,88.26,1919100
"Dec 31, 2018",88.32,89.01,88.03,88.99,88.53,1281100
"Dec 28, 2018",88.5,89.37,87.5,87.95,87.5,1642600
"Dec 27, 2018",86.3,88.13,85.3,88.1,87.65,2007300
"Dec 26, 2018",84,86.94,83.49,86.94,86.49,1480300
"Dec 24, 2018",87.59,87.59,83.68,83.7,83.27,1441500
"Dec 21, 2018",87.99,89.13,87.55,88.01,87.56,4580000
"Dec 20, 2018",87.78,88.33,86.69,87.95,87.5,2975000
"Dec 19, 2018",88.98,89.63,87.35,87.92,87.47,2733600
"Dec 18, 2018",89.64,90.03,88.7,89.19,88.73,2340700
"Dec 17, 2018",91.15,91.22,88.62,89.05,88.59,3171700
"Dec 14, 2018",90.86,91.73,90.69,91.14,90.67,1823100
"Dec 13, 2018",90.82,91.57,90.59,91.38,90.91,1644300
"Dec 12, 2018",92.07,92.6,90.81,90.89,90.42,2229600
"Dec 11, 2018",92.19,92.48,91.16,91.47,91,1710500
"Dec 10, 2018",91.44,91.49,90.02,91.27,90.8,1721800
"Dec 07, 2018",92.71,93.53,90.89,91.21,90.74,1824600
"Dec 06, 2018",92.22,92.86,90.37,92.86,92.38,2898800
"Dec 04, 2018",94.25,95.49,92.45,92.62,92.14,4166700
"Dec 03, 2018",94.4,94.5,92.29,93.08,92.6,3700400
"Nov 30, 2018",93.09,94.08,92.89,93.75,93.27,2505000
"Nov 29, 2018",92.4,93.16,92.12,92.72,92.24,1118600
"Nov 29, 2018",0.465 Dividend,,,,,
"Nov 28, 2018",91.66,92.96,91.41,92.81,91.87,1584600
"Nov 27, 2018",91.25,91.55,90.62,91.41,90.48,1600100
"Nov 26, 2018",91.31,91.87,90.79,91.44,90.51,1093900
"Nov 23, 2018",90.94,91.5,90.26,90.84,89.92,431200
"Nov 21, 2018",91.63,91.63,90.86,91.11,90.19,2296600
"Nov 20, 2018",92.43,92.81,91.33,91.45,90.52,1788400
"Nov 19, 2018",92.62,93.29,92.2,92.65,91.71,1930300
"Nov 16, 2018",91.77,92.78,91.73,92.62,91.68,2351800
"Nov 15, 2018",90.42,92.06,89.7,91.98,91.05,1994800
"Nov 14, 2018",90.91,91.64,90.44,91.01,90.09,2470500
"Nov 13, 2018",91.09,91.49,90.28,90.78,89.86,1612600
"Nov 12, 2018",90.6,91.82,90.46,90.86,89.94,1858600
"Nov 09, 2018",89.73,90.72,89.73,90.46,89.54,1709500
"Nov 08, 2018",89.49,90.29,89.23,89.89,88.98,2532100
"Nov 07, 2018",88.3,89.45,87.85,89.43,88.52,2581700
"Nov 06, 2018",87.94,88.19,86.61,87.83,86.94,2049800
"Nov 05, 2018",87.33,88.36,87.2,87.78,86.89,2522600
"Nov 02, 2018",88.26,88.26,86.37,87,86.12,2377800
"Nov 01, 2018",89.66,89.93,88.07,88.09,87.2,2732400
"Oct 31, 2018",89.11,90.13,88.27,89.47,88.56,2025000
"Oct 30, 2018",86.75,88.96,86.57,88.82,87.92,2636600
"Oct 29, 2018",85.8,87.37,85.58,86.41,85.54,3035200
"Oct 26, 2018",84.24,85.35,83.28,84.93,84.07,3062700
"Oct 25, 2018",87.2,87.92,83.22,84.84,83.98,2942400
"Oct 24, 2018",88.05,88.31,86.94,87.22,86.34,2050500
"Oct 23, 2018",89.02,89.29,87.58,88.38,87.49,1785300
"Oct 22, 2018",90.84,90.87,89.64,89.92,89.01,2180800
"Oct 19, 2018",90.06,90.79,90.06,90.44,89.52,1376100
"Oct 18, 2018",90.35,90.71,89.67,90.11,89.2,1482100
"Oct 17, 2018",90.25,90.69,89.3,90.14,89.23,1160500
"Oct 16, 2018",88.79,90.32,88.61,90.25,89.34,1195900
"Oct 15, 2018",88.38,89.12,88.31,88.43,87.53,2259000
"Oct 12, 2018",88.82,89,87.79,88.55,87.65,2728100
"Oct 11, 2018",90.29,90.73,88.01,88.04,87.15,2726400
"Oct 10, 2018",90.8,91.41,90.18,90.3,89.39,4325200
"Oct 09, 2018",90.82,91.66,90.49,91.27,90.35,2248800
"Oct 08, 2018",89.9,91.05,89.87,90.88,89.96,2166900
"Oct 05, 2018",89.32,90.29,89.1,89.96,89.05,1833900
"Oct 04, 2018",89.2,89.45,88.47,89.03,88.13,1235500
"Oct 03, 2018",90.12,90.41,89.24,89.51,88.6,1167800
"Oct 02, 2018",90.19,90.36,89.74,89.93,89.02,1101200
"Oct 01, 2018",90.77,90.82,90.08,90.17,89.26,910800
"Sep 28, 2018",89.8,90.44,89.73,90.36,89.45,2213600
"Sep 27, 2018",89.89,90.56,89.65,89.85,88.94,1446100
"Sep 26, 2018",90.35,90.49,89.66,89.77,88.86,1601000
"Sep 25, 2018",90.76,90.91,90.22,90.38,89.46,1448700
"Sep 24, 2018",91.42,91.47,90.33,90.51,89.59,1204700
"Sep 21, 2018",92.04,92.04,91.4,91.42,90.49,2244900
"Sep 20, 2018",91.47,91.96,91.28,91.72,90.79,1163400
"Sep 19, 2018",92.12,92.24,91.06,91.21,90.29,1511900
"Sep 18, 2018",92.32,92.85,92.11,92.51,91.57,1697800
"Sep 17, 2018",92.13,92.32,91.62,92.11,91.18,789700
"Sep 14, 2018",91.96,92.15,91.49,92.03,91.1,1106300
"Sep 13, 2018",92.01,92.11,91.47,92.03,91.1,1065400
"Sep 12, 2018",92.36,92.41,91.68,91.75,90.82,2235200
"Sep 11, 2018",91.74,92.67,91.74,92.34,91.41,1699100
"Sep 10, 2018",92.02,92.27,91.86,91.94,91.01,2633400
"Sep 07, 2018",91.81,92.36,91.6,91.81,90.88,2015500
"Sep 06, 2018",91.06,91.92,91.06,91.88,90.95,1736600
"Sep 06, 2018",0.465 Dividend,,,,,
"Sep 05, 2018",91.02,91.63,90.66,91.54,90.15,1805300
"Sep 04, 2018",90.8,91.17,90.64,91.12,89.74,1359600
"Aug 31, 2018",90.8,91,90.51,90.9,89.52,1528900
"Aug 30, 2018",90.52,90.82,90.3,90.76,89.38,1309200
"Aug 29, 2018",90.61,90.8,90.2,90.63,89.26,1072400
"Aug 28, 2018",90.72,90.83,90.17,90.44,89.07,1263500
"Aug 27, 2018",90.98,91.1,90.47,90.67,89.3,1463600
"Aug 24, 2018",90.72,91,90.36,90.7,89.33,1151100
"Aug 23, 2018",90.5,90.9,90.31,90.63,89.26,956500
"Aug 22, 2018",90.94,90.94,90.53,90.6,89.23,1283900
