date,close,volume,open,high,low
,,,,,
2019/03/08,98.95,1306026,99.11,99.45,98.19
2019/03/07,99.7,1946767,99.27,99.83,98.9
2019/03/06,99.81,1539789,99.8,100.4,99.7
2019/03/05,99.71,1538588,100.2,100.62,99.71
2019/03/04,100.24,1641639,101.51,101.65,99.69
2019/03/01,101,1610266,101.52,101.78,100.545
2019/02/28,101.25,2124057,100.29,101.35,100.2119
2019/02/27,100.24,1284351,99.21,100.345,99.21
2019/02/26,99.43,1316862,99.52,99.94,99.24
2019/02/25,99.3,1285955,100,100.14,99.24
2019/02/22,99.73,1212137,99.32,99.82,99.03
2019/02/21,99.32,1585661,99.24,99.5,98.77
2019/02/20,99.18,1724820,99.23,99.245,98.73
2019/02/19,99.08,2185057,99,99.215,98.58
2019/02/15,99.06,2406740,99.9,100.16,98.62
2019/02/14,98.84,2253627,97.5,100,97.22
2019/02/13,98.56,1967577,98.64,98.99,97.98
2019/02/12,98.65,1457628,97.68,98.685,97.48
2019/02/11,97.37,1603599,97.67,98.54,97.08
2019/02/08,97.42,1664763,96.49,97.42,95.93
2019/02/07,96.89,1431923,96.02,96.92,95.9851
2019/02/06,96.66,1624699,97.04,97.04,96.2339
2019/02/05,97.21,2099392,96.27,97.22,96.215
2019/02/04,96,1503792,95.35,96,94.88
2019/02/01,95.47,1839747,96,96.25,95.09
2019/01/31,95.67,3409704,95.1,96.145,94.48
2019/01/30,94.94,2593232,95.08,95.225,93.98
2019/01/29,94.76,1527268,94.56,95.65,94.34
2019/01/28,94.5,1330181,94.43,94.8947,93.85
2019/01/25,94.9,1878882,94.87,95.5,94.54
2019/01/24,94.41,1649230,94.9,95.08,94.21
2019/01/23,94.91,1297450,94.97,95.15,94.47
2019/01/22,94.88,2202455,94.32,95.2,93.84
2019/01/18,94.47,2284199,93.57,94.78,93.08
2019/01/17,93.32,1720825,92.5,93.33,92.49
2019/01/16,92.7,1869996,93.83,93.85,92.4794
2019/01/15,93.78,1087446,93.23,93.88,93.1821
2019/01/14,93.11,1752497,93.08,93.71,92.572
2019/01/11,93.65,1785102,93.26,93.66,92.88
2019/01/10,93.19,1682115,92.55,93.25,91.7
2019/01/09,91.87,1851168,92.16,92.4606,91.19
2019/01/08,92.34,2128616,91.44,92.47,90.98
2019/01/07,91.05,2682986,90.61,91.764,90.45
2019/01/04,90.83,2379985,89,90.86,89
2019/01/03,88.48,3358648,88.24,88.84,87.32
2019/01/02,88.72,1905008,88.1,88.76,87.43
2018/12/31,88.99,1246068,88.32,89.01,88.03
2018/12/28,87.95,1642607,88.5,89.37,87.5
2018/12/27,88.1,2007267,86.3,88.13,85.3
2018/12/26,86.94,1478413,84,86.94,83.485
2018/12/24,83.7,1441454,87.59,87.59,83.68
2018/12/21,88.01,4548086,87.99,89.13,87.55
2018/12/20,87.95,2940286,87.78,88.33,86.69
2018/12/19,87.92,2733562,88.98,89.63,87.35
2018/12/18,89.19,2339493,89.64,90.03,88.7
2018/12/17,89.05,3171669,91.15,91.22,88.62
2018/12/14,91.14,1823070,90.86,91.73,90.69
2018/12/13,91.38,1487828,90.82,91.57,90.59
2018/12/12,90.89,2229636,92.07,92.6,90.81
2018/12/11,91.47,1464238,92.19,92.48,91.16
2018/12/10,91.27,1721819,91.44,91.49,90.02
2018/12/07,91.21,1771859,92.71,93.53,90.8901
2018/12/06,92.86,2848682,92.22,92.86,90.37
2018/12/04,92.62,4095484,94.25,95.49,92.45
2018/12/03,93.08,3698757,94.4,94.5,92.29
2018/11/30,93.75,2504994,93.09,94.08,92.89
2018/11/29,92.72,1118644,92.4,93.16,92.12
2018/11/28,92.81,1584577,91.66,92.96,91.41
2018/11/27,91.41,1600049,91.25,91.55,90.62
2018/11/26,91.44,1079330,91.31,91.87,90.79
2018/11/23,90.84,431241,90.94,91.5009,90.26
2018/11/21,91.11,2276880,91.63,91.63,90.86
2018/11/20,91.45,1788355,92.43,92.81,91.33
2018/11/19,92.65,1607438,92.62,93.29,92.2
2018/11/16,92.62,2332345,91.77,92.78,91.73
2018/11/15,91.98,1994788,90.42,92.06,89.7
2018/11/14,91.01,2453357,90.91,91.64,90.44
2018/11/13,90.78,1589209,91.09,91.49,90.28
2018/11/12,90.86,1855774,90.6,91.82,90.46
2018/11/09,90.46,1709502,89.73,90.72,89.73
2018/11/08,89.89,2509406,89.49,90.29,89.23
2018/11/07,89.43,2476616,88.3,89.45,87.85
2018/11/06,87.83,1981712,87.94,88.19,86.6101
2018/11/05,87.78,2349164,87.33,88.36,87.2
2018/11/02,87,2346291,88.26,88.26,86.37
2018/11/01,88.09,2668750,89.66,89.93,88.07
2018/10/31,89.47,2016034,89.11,90.13,88.27
2018/10/30,88.82,2611470,86.75,88.96,86.5719
2018/10/29,86.41,3007424,85.8,87.37,85.575
2018/10/26,84.93,3062739,84.24,85.35,83.28
2018/10/25,84.84,2937758,87.2,87.92,83.2202
2018/10/24,87.22,2035420,88.05,88.31,86.94
2018/10/23,88.38,1785342,89.02,89.29,87.58
2018/10/22,89.92,2148988,90.84,90.87,89.64
2018/10/19,90.44,1362281,90.06,90.79,90.06
2018/10/18,90.11,1478825,90.35,90.705,89.67
2018/10/17,90.14,1160520,90.25,90.69,89.3
2018/10/16,90.25,1160879,88.79,90.32,88.61
2018/10/15,88.43,2251917,88.38,89.12,88.31
2018/10/12,88.55,2724033,88.82,89,87.7893
2018/10/11,88.04,2725559,90.29,90.73,88.01
2018/10/10,90.3,4325169,90.8,91.41,90.18
2018/10/09,91.27,2248774,90.82,91.66,90.49
2018/10/08,90.88,2122156,89.9,91.05,89.87
2018/10/05,89.96,1833857,89.32,90.29,89.1
2018/10/04,89.03,1137534,89.2,89.45,88.47
2018/10/03,89.51,1167777,90.12,90.405,89.24
2018/10/02,89.93,974938,90.19,90.355,89.74
2018/10/01,90.17,910754,90.77,90.82,90.08
2018/09/28,90.36,2213591,89.8,90.44,89.73
2018/09/27,89.85,1446139,89.89,90.5599,89.65
